Liga,Temporada,Fecha y Hora,Estado,Equipo Local,Goles Local,Equipo Visitante,Goles Visitante,Tiros al Arco Local,Tiros al Arco Visitante,Tiros Totales Local,Tiros Totales Visitante,Posesión Local (%),Posesión Visitante (%),Tiros de Esquina Local,Tiros de Esquina Visitante,Faltas Local,Faltas Visitante,Pases Completos Local,Pases Completos Visitante
Premier League,2020,2021-04-03T19:00:00+00:00,Match Finished,Arsenal,0,Liverpool,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-04T11:00:00+00:00,Match Finished,Southampton,3,Burnley,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-04T13:05:00+00:00,Match Finished,Newcastle,2,Tottenham,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-04T15:30:00+00:00,Match Finished,Aston Villa,3,Fulham,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-04T18:30:00+00:00,Match Finished,Manchester United,2,Brighton,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-05T17:00:00+00:00,Match Finished,Everton,1,Crystal Palace,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-05T19:15:00+00:00,Match Finished,Wolves,2,West Ham,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-09T19:00:00+00:00,Match Finished,Fulham,0,Wolves,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-10T11:30:00+00:00,Match Finished,Manchester City,1,Leeds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-10T14:00:00+00:00,Match Finished,Liverpool,2,Aston Villa,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-10T16:30:00+00:00,Match Finished,Crystal Palace,1,Chelsea,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-11T11:00:00+00:00,Match Finished,Burnley,1,Newcastle,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-11T13:05:00+00:00,Match Finished,West Ham,3,Leicester,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-11T15:30:00+00:00,Match Finished,Tottenham,1,Manchester United,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-11T18:00:00+00:00,Match Finished,Sheffield Utd,0,Arsenal,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-12T17:00:00+00:00,Match Finished,West Brom,3,Southampton,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-12T19:15:00+00:00,Match Finished,Brighton,0,Everton,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
